-8.000000000000000000e+00,8.000000000000000000e+00,2.700000000000000000e+01
-1.934636575714392848e+00,6.872586115393148454e+00,2.199331156604086246e+01
1.423045653975436808e+00,6.537914477742780228e+00,1.921965289244092645e+01
3.592312663840587117e+00,7.444066757651833122e+00,1.766153509917425879e+01
5.505910746334255812e+00,9.452563623251306169e+00,1.726434394744181589e+01
7.646230423103844487e+00,1.227492034704349066e+01,1.847015290395026099e+01
1.009685768898585501e+01,1.510748891562102081e+01,2.193143220365995560e+01
1.239142473091040131e+01,1.615799403728291495e+01,2.762375995078544477e+01
1.346144646552455271e+01,1.358052612678800664e+01,3.346909688888354140e+01
1.244372466404488975e+01,8.480031986483396622e+00,3.612117861960131648e+01
9.827740572778175476e+00,3.853380234453627207e+00,3.478768119817478066e+01
6.904492666392519240e+00,1.534082836247662396e+00,3.139819816487877802e+01
4.631755131007866844e+00,9.960815832538413295e-01,2.778258868986112518e+01
3.245304623549782885e+00,1.289823913240339737e+00,2.450660172776768775e+01
2.600955260411761838e+00,1.915209904035450661e+00,2.165375283987741994e+01
2.502176082597177054e+00,2.754782536235028889e+00,1.921942573239145702e+01
2.831609410067716492e+00,3.887461423170222030e+00,1.722611553899821857e+01
3.571826136618794223e+00,5.491154982454656164e+00,1.576964401532878490e+01
4.791674432544465567e+00,7.783946945622691516e+00,1.509301196985116533e+01
6.614339843774192929e+00,1.092522488278120285e+01,1.570380108321194079e+01
9.092088203911259825e+00,1.461249672349568840e+01,1.846596405625949444e+01
1.193369300040524195e+01,1.737280274539466518e+01,2.421509035961359402e+01
1.404585027072089254e+01,1.644109804721155399e+01,3.184003661657025219e+01
1.391604645210887092e+01,1.090253918786538279e+01,3.708280535943009681e+01
1.130464303733823783e+01,4.479367907813150751e+00,3.701971854092646197e+01
7.719451744932884552e+00,7.832541607631751113e-01,3.347671911133887335e+01
4.695931522426383786e+00,-3.006754368310567416e-01,2.931792218123057481e+01
2.725950562060431626e+00,-2.084733204729530276e-01,2.559914400362502462e+01
1.655207150500189961e+00,2.087194740460507347e-01,2.239552452108651792e+01
1.182791538613208626e+00,6.670964097717935193e-01,1.962247695771317879e+01
1.081137027312444321e+00,1.154226349766919402e+00,1.721560429434658346e+01
1.233308753667242463e+00,1.758954989431374738e+00,1.514050584962902768e+01
1.613461341621251766e+00,2.620634273360713973e+00,1.339156247121104393e+01
2.272090407223088082e+00,3.933725410749095541e+00,1.201299373283256600e+01
3.332545517829060167e+00,5.972390146963169499e+00,1.115604592859184230e+01
4.994861636379315684e+00,9.061026357358224814e+00,1.122555039290450374e+01
7.497389992561600991e+00,1.346832610137269803e+01,1.310884986101530458e+01
1.090636702269038771e+01,1.836782434919426521e+01,1.840886341312707941e+01
1.447364783177113168e+01,2.045016632328784922e+01,2.807205066068820543e+01
1.599157961228099722e+01,1.535314047731937670e+01,3.796316054486599256e+01
1.368882794843611883e+01,5.721592102953398928e+00,4.071374634048302710e+01
