1.030678841887310604e+01,4.512056303760497045e+00
1.400750416898497619e+01,4.098594870272505020e+00
1.641052666809066096e+01,2.505061389070936340e+00
2.582494540619518375e+01,3.186843855960064698e+00
3.457641473979427360e+01,4.434231593524562420e+00
4.143957190750237629e+01,9.799135385893791295e+00
3.374809461855087989e+01,1.911055473886055012e+01
1.935668077059626668e+01,2.283228105180909751e+01
1.115172512581770548e+01,1.832038809749994712e+01
9.073402443839093223e+00,1.259550841975909918e+01
7.920076184254283724e+00,7.800830237394107414e+00
1.079720507562450393e+01,5.292701333257299190e+00
1.208018002392314116e+01,3.676262845444210114e+00
1.778700788682180800e+01,3.334985898885940436e+00
2.457106331392988707e+01,3.426074724703761287e+00
3.507595202105580512e+01,4.206042593052160328e+00
3.959311721328779754e+01,7.815886361932054882e+00
3.676691193277386560e+01,1.729103353932171316e+01
2.122078987554017004e+01,2.282746988885436323e+01
1.091933379616882327e+01,2.024347034328905792e+01
9.177491702746154445e+00,1.393411716229563346e+01
7.322459438270859877e+00,8.927179968151566669e+00
9.301564910022975141e+00,5.875903914425169461e+00
1.271121027958700900e+01,4.159615182616539286e+00
1.688852173378226595e+01,3.267577708041276452e+00
2.297891088493789269e+01,3.445074865512916862e+00
2.974701968036048072e+01,3.895600572233161252e+00
3.878178493845792474e+01,6.855851979731780510e+00
3.785853203589467597e+01,1.558922682308593544e+01
2.318306895587457461e+01,2.325139686628148539e+01
1.124494594411876136e+01,2.086503710463637518e+01
8.927780861002638346e+00,1.507451255739723273e+01
8.649567044617539224e+00,9.954131701609739480e+00
8.501011985730169584e+00,6.010824357985137922e+00
1.208034705352638483e+01,4.209163603784362273e+00
1.394984389013250947e+01,2.801246802546028647e+00
2.037210970579864977e+01,3.339301303058461734e+00
2.965484587537320849e+01,4.090528903124072357e+00
3.765496024274694520e+01,6.364431948389791316e+00
4.018337634771557987e+01,1.292364928342254338e+01
2.742211960739993870e+01,2.163832785996134334e+01
1.401816218529005553e+01,2.178589966807322398e+01
8.004499573900355713e+00,1.619705198690362380e+01
7.460335951005995447e+00,1.041971717448470081e+01
9.053821722781052017e+00,6.941729042033683683e+00
1.132684232876344588e+01,4.530164242183401413e+00
1.390983327983540008e+01,3.417766163154705161e+00
1.828900532262071010e+01,2.413482337668233058e+00
2.650645173867260240e+01,3.080005656462580177e+00
3.708596367197229426e+01,5.153870923523784064e+00
