Time (ms),Height (mm)
120.2,13.657007
120.4,13.657007
120.6,13.695805
120.8,13.695805
121,13.695805
121.2,13.734603
121.4,13.734603
121.6,13.734603
121.8,13.773402
122,13.773402
122.2,13.773402
122.4,13.8122
122.6,13.8122
122.8,13.8122
123,13.850998
123.2,13.850998
123.4,13.850998
123.6,13.889797
123.8,13.889797
124,13.889797
124.2,13.928595
124.4,13.928595
124.6,13.928595
124.8,13.967393
125,13.967393
125.2,13.967393
125.4,14.006192
125.6,14.006192
125.8,14.006192
126,14.04499
126.2,14.04499
126.4,14.04499
126.6,14.083788
126.8,14.083788
127,14.083788
127.2,14.122587
127.4,14.122587
127.6,14.122587
127.8,14.161385
128,14.161385
128.2,14.161385
128.4,14.200183
128.6,14.200183
128.8,14.200183
129,14.238981
129.2,14.238981
129.4,14.238981
129.6,14.238981
129.8,14.27778
130,14.27778
130.2,14.27778
130.4,14.316578
130.6,14.316578
130.8,14.316578
131,14.316578
131.2,14.355376
131.4,14.355376
131.6,14.355376
131.8,14.355376
132,14.394175
132.2,14.394175
132.4,14.394175
132.6,14.394175
132.8,14.394175
133,14.432973
133.2,14.432973
133.4,14.432973
133.6,14.432973
133.8,14.471771
134,14.471771
134.2,14.471771
134.4,14.471771
134.6,14.471771
134.8,14.471771
135,14.51057
135.2,14.51057
135.4,14.51057
135.6,14.51057
135.8,14.51057
136,14.51057
136.2,14.51057
136.4,14.549368
136.6,14.549368
136.8,14.549368
137,14.549368
137.2,14.549368
137.4,14.549368
137.6,14.549368
137.8,14.549368
138,14.588166
138.2,14.588166
138.4,14.588166
138.6,14.588166
138.8,14.588166
139,14.588166
139.2,14.588166
139.4,14.626965
139.6,14.626965
139.8,14.626965
140,14.626965
140.2,14.626965
140.4,14.626965
140.6,14.626965
140.8,14.665763
141,14.665763
141.2,14.665763
141.4,14.665763
141.6,14.665763
141.8,14.665763
142,14.665763
142.2,14.704561
142.4,14.704561
142.6,14.704561
142.8,14.704561
143,14.704561
143.2,14.704561
143.4,14.704561
143.6,14.704561
143.8,14.74336
144,14.74336
144.2,14.74336
144.4,14.74336
144.6,14.74336
144.8,14.74336
145,14.74336
145.2,14.782158
145.4,14.782158
145.6,14.782158
145.8,14.782158
146,14.782158
146.2,14.782158
146.4,14.820956
146.6,14.820956
146.8,14.820956
147,14.820956
147.2,14.820956
147.4,14.820956
147.6,14.859755
147.8,14.859755
148,14.859755
148.2,14.859755
148.4,14.859755
148.6,14.859755
148.8,14.898553
149,14.898553
149.2,14.898553
149.4,14.898553
149.6,14.898553
149.8,14.898553
150,14.937351
150.2,14.937351
150.4,14.937351
150.6,14.937351
150.8,14.937351
151,14.937351
151.2,14.937351
151.4,14.976149
151.6,14.976149
151.8,14.976149
152,14.976149
152.2,14.976149
152.4,14.976149
152.6,14.976149
152.8,15.014948
153,15.014948
153.2,15.014948
153.4,15.014948
153.6,15.014948
153.8,15.014948
154,15.053746
154.2,15.053746
154.4,15.053746
154.6,15.053746
154.8,15.053746
155,15.053746
155.2,15.053746
155.4,15.092544
155.6,15.092544
155.8,15.092544
156,15.092544
156.2,15.092544
156.4,15.092544
156.6,15.092544
156.8,15.131343
157,15.131343
157.2,15.131343
157.4,15.131343
157.6,15.131343
157.8,15.170141
158,15.170141
158.2,15.170141
158.4,15.170141
158.6,15.170141
158.8,15.170141
159,15.170141
159.2,15.170141
159.4,15.170141
159.6,15.208939
159.8,15.208939
160,15.208939
160.2,15.208939
160.4,15.208939
160.6,15.208939
160.8,15.247738
161,15.247738
161.2,15.247738
161.4,15.247738
161.6,15.247738
161.8,15.247738
162,15.247738
162.2,15.286536
162.4,15.286536
162.6,15.286536
162.8,15.286536
163,15.286536
163.2,15.286536
163.4,15.325334
163.6,15.325334
163.8,15.325334
164,15.325334
164.2,15.325334
164.4,15.325334
164.6,15.325334
164.8,15.364133
165,15.364133
165.2,15.364133
165.4,15.364133
165.6,15.364133
165.8,15.364133
166,15.402931
166.2,15.402931
166.4,15.402931
166.6,15.402931
166.8,15.402931
167,15.402931
167.2,15.402931
167.4,15.441729
167.6,15.441729
167.8,15.441729
168,15.441729
168.2,15.441729
168.4,15.441729
168.6,15.441729
168.8,15.441729
169,15.480528
169.2,15.480528
169.4,15.480528
169.6,15.480528
169.8,15.480528
170,15.480528
170.2,15.480528
170.4,15.480528
170.6,15.519326
170.8,15.519326
171,15.519326
171.2,15.519326
171.4,15.519326
171.6,15.519326
171.8,15.519326
172,15.519326
172.2,15.519326
172.4,15.519326
172.6,15.558124
172.8,15.558124
173,15.558124
173.2,15.558124
173.4,15.558124
173.6,15.558124
173.8,15.558124
174,15.558124
174.2,15.558124
174.4,15.558124
174.6,15.558124
174.8,15.558124
175,15.558124
175.2,15.596923
175.4,15.596923
175.6,15.596923
175.8,15.596923
176,15.596923
176.2,15.596923
176.4,15.596923
176.6,15.596923
176.8,15.596923
177,15.596923
177.2,15.596923
177.4,15.596923
177.6,15.596923
177.8,15.596923
178,15.596923
178.2,15.596923
178.4,15.596923
178.6,15.596923
178.8,15.596923
179,15.635721
179.2,15.635721
179.4,15.635721
179.6,15.635721
179.8,15.635721
180,15.635721
180.2,15.635721
180.4,15.635721
180.6,15.635721
180.8,15.635721
181,15.635721
181.2,15.635721
181.4,15.635721
181.6,15.635721
181.8,15.635721
182,15.635721
182.2,15.635721
182.4,15.635721
182.6,15.635721
182.8,15.635721
183,15.635721
183.2,15.635721
183.4,15.635721
183.6,15.674519
183.8,15.674519
184,15.674519
184.2,15.674519
184.4,15.674519
184.6,15.674519
184.8,15.674519
185,15.674519
185.2,15.674519
185.4,15.674519
185.6,15.674519
185.8,15.674519
186,15.674519
186.2,15.674519
186.4,15.674519
186.6,15.674519
186.8,15.674519
187,15.674519
187.2,15.674519
187.4,15.674519
187.6,15.674519
187.8,15.674519
188,15.674519
188.2,15.674519
188.4,15.674519
188.6,15.674519
188.8,15.674519
189,15.674519
189.2,15.674519
189.4,15.674519
189.6,15.674519
189.8,15.674519
190,15.674519
190.2,15.674519
190.4,15.674519
190.6,15.674519
190.8,15.674519
191,15.674519
191.2,15.674519
191.4,15.674519
191.6,15.674519
191.8,15.674519
192,15.674519
192.2,15.674519
192.4,15.674519
192.6,15.713317
192.8,15.674519
193,15.713317
193.2,15.674519
193.4,15.713317
193.6,15.713317
193.8,15.713317
194,15.713317
194.2,15.713317
194.4,15.713317
194.6,15.713317
194.8,15.713317
195,15.713317
195.2,15.713317
195.4,15.713317
195.6,15.713317
195.8,15.713317
196,15.713317
196.2,15.713317
196.4,15.713317
196.6,15.713317
196.8,15.713317
197,15.713317
197.2,15.713317
197.4,15.713317
197.6,15.713317
197.8,15.713317
198,15.713317
198.2,15.713317
198.4,15.713317
198.6,15.713317
198.8,15.713317
199,15.713317
199.2,15.713317
199.4,15.713317
199.6,15.713317
199.8,15.713317
200,15.713317
